2024-02-02 16:28:08 remove python3-websocket:all 0.57.0-1 <none>
2024-02-02 16:28:08 status half-configured python3-websocket:all 0.57.0-1
2024-02-02 16:28:09 status half-installed python3-websocket:all 0.57.0-1
2024-02-02 16:28:09 status config-files python3-websocket:all 0.57.0-1
2024-02-02 16:28:09 status not-installed python3-websocket:all <none>
2024-02-02 16:28:09 startup packages configure
2024-02-02 16:28:09 trigproc openmediavault:all 6.9.12-3 <none>
2024-02-02 16:28:09 status half-configured openmediavault:all 6.9.12-3
2024-02-02 16:28:10 status installed openmediavault:all 6.9.12-3
2024-02-02 16:28:10 startup packages purge
2024-02-02 16:28:10 purge openmediavault-compose:all 6.11.3 <none>
2024-02-02 16:28:10 status config-files openmediavault-compose:all 6.11.3
2024-02-02 16:28:10 status triggers-pending openmediavault:all 6.9.12-3
2024-02-02 16:28:10 status not-installed openmediavault-compose:all <none>
2024-02-02 16:28:10 purge openmediavault-sharerootfs:all 6.0.3-1 <none>
2024-02-02 16:28:10 status config-files openmediavault-sharerootfs:all 6.0.3-1
2024-02-02 16:28:10 status not-installed openmediavault-sharerootfs:all <none>
2024-02-02 16:28:10 startup packages configure
2024-02-02 16:28:10 trigproc openmediavault:all 6.9.12-3 <none>
2024-02-02 16:28:10 status half-configured openmediavault:all 6.9.12-3
2024-02-02 16:28:11 status installed openmediavault:all 6.9.12-3
2024-02-02 16:31:14 startup archives unpack
2024-02-02 16:31:14 install openmediavault-sharerootfs:all <none> 6.0.3-1
2024-02-02 16:31:14 status half-installed openmediavault-sharerootfs:all 6.0.3-1
2024-02-02 16:31:14 status unpacked openmediavault-sharerootfs:all 6.0.3-1
2024-02-02 16:31:15 install python3-lib2to3:all <none> 3.9.2-1
2024-02-02 16:31:15 status half-installed python3-lib2to3:all 3.9.2-1
2024-02-02 16:31:15 status unpacked python3-lib2to3:all 3.9.2-1
2024-02-02 16:31:15 install python3-distutils:all <none> 3.9.2-1
2024-02-02 16:31:15 status half-installed python3-distutils:all 3.9.2-1
2024-02-02 16:31:15 status unpacked python3-distutils:all 3.9.2-1
2024-02-02 16:31:15 install python3-websocket:all <none> 0.57.0-1
2024-02-02 16:31:15 status half-installed python3-websocket:all 0.57.0-1
2024-02-02 16:31:15 status unpacked python3-websocket:all 0.57.0-1
2024-02-02 16:31:15 install python3-docker:all <none> 4.1.0-1.2
2024-02-02 16:31:15 status half-installed python3-docker:all 4.1.0-1.2
2024-02-02 16:31:15 status unpacked python3-docker:all 4.1.0-1.2
2024-02-02 16:31:15 install python3-unidecode:all <none> 1.2.0-1
2024-02-02 16:31:15 status half-installed python3-unidecode:all 1.2.0-1
2024-02-02 16:31:15 status unpacked python3-unidecode:all 1.2.0-1
2024-02-02 16:31:15 install python3-pretty-yaml:all <none> 20.4.0-1
2024-02-02 16:31:15 status half-installed python3-pretty-yaml:all 20.4.0-1
2024-02-02 16:31:15 status unpacked python3-pretty-yaml:all 20.4.0-1
2024-02-02 16:31:15 install openmediavault-compose:all <none> 6.11.3
2024-02-02 16:31:15 status triggers-pending openmediavault:all 6.9.12-3
2024-02-02 16:31:15 status half-installed openmediavault-compose:all 6.11.3
2024-02-02 16:31:15 status unpacked openmediavault-compose:all 6.11.3
2024-02-02 16:31:15 startup packages configure
2024-02-02 16:31:15 configure openmediavault-sharerootfs:all 6.0.3-1 <none>
2024-02-02 16:31:15 status unpacked openmediavault-sharerootfs:all 6.0.3-1
2024-02-02 16:31:15 status half-configured openmediavault-sharerootfs:all 6.0.3-1
2024-02-02 16:31:17 status installed openmediavault-sharerootfs:all 6.0.3-1
2024-02-02 16:31:17 configure python3-lib2to3:all 3.9.2-1 <none>
2024-02-02 16:31:17 status unpacked python3-lib2to3:all 3.9.2-1
2024-02-02 16:31:17 status half-configured python3-lib2to3:all 3.9.2-1
2024-02-02 16:31:17 status installed python3-lib2to3:all 3.9.2-1
2024-02-02 16:31:17 configure python3-unidecode:all 1.2.0-1 <none>
2024-02-02 16:31:17 status unpacked python3-unidecode:all 1.2.0-1
2024-02-02 16:31:17 status half-configured python3-unidecode:all 1.2.0-1
2024-02-02 16:31:17 status installed python3-unidecode:all 1.2.0-1
2024-02-02 16:31:17 configure python3-websocket:all 0.57.0-1 <none>
2024-02-02 16:31:17 status unpacked python3-websocket:all 0.57.0-1
2024-02-02 16:31:17 status half-configured python3-websocket:all 0.57.0-1
2024-02-02 16:31:17 status installed python3-websocket:all 0.57.0-1
2024-02-02 16:31:17 configure python3-distutils:all 3.9.2-1 <none>
2024-02-02 16:31:17 status unpacked python3-distutils:all 3.9.2-1
2024-02-02 16:31:17 status half-configured python3-distutils:all 3.9.2-1
2024-02-02 16:31:18 status installed python3-distutils:all 3.9.2-1
2024-02-02 16:31:18 configure python3-docker:all 4.1.0-1.2 <none>
2024-02-02 16:31:18 status unpacked python3-docker:all 4.1.0-1.2
2024-02-02 16:31:18 status half-configured python3-docker:all 4.1.0-1.2
2024-02-02 16:31:18 status installed python3-docker:all 4.1.0-1.2
2024-02-02 16:31:18 configure python3-pretty-yaml:all 20.4.0-1 <none>
2024-02-02 16:31:18 status unpacked python3-pretty-yaml:all 20.4.0-1
2024-02-02 16:31:18 status half-configured python3-pretty-yaml:all 20.4.0-1
2024-02-02 16:31:18 status installed python3-pretty-yaml:all 20.4.0-1
2024-02-02 16:31:18 configure openmediavault-compose:all 6.11.3 <none>
2024-02-02 16:31:18 status unpacked openmediavault-compose:all 6.11.3
2024-02-02 16:31:18 status half-configured openmediavault-compose:all 6.11.3
2024-02-02 16:31:18 status triggers-awaited openmediavault-compose:all 6.11.3
2024-02-02 16:31:18 status triggers-pending openmediavault:all 6.9.12-3
2024-02-02 16:31:18 trigproc openmediavault:all 6.9.12-3 <none>
2024-02-02 16:31:18 status half-configured openmediavault:all 6.9.12-3
2024-02-02 16:31:18 status installed openmediavault-compose:all 6.11.3
2024-02-02 16:31:20 status installed openmediavault:all 6.9.12-3
2024-02-02 16:33:16 startup archives unpack
2024-02-02 16:33:17 install containerd.io:amd64 <none> 1.6.28-1
2024-02-02 16:33:17 status half-installed containerd.io:amd64 1.6.28-1
2024-02-02 16:33:19 status unpacked containerd.io:amd64 1.6.28-1
2024-02-02 16:33:19 install docker-ce-cli:amd64 <none> 5:25.0.2-1~debian.11~bullseye
2024-02-02 16:33:19 status half-installed docker-ce-cli:amd64 5:25.0.2-1~debian.11~bullseye
2024-02-02 16:33:19 status unpacked docker-ce-cli:amd64 5:25.0.2-1~debian.11~bullseye
2024-02-02 16:33:20 install docker-ce:amd64 <none> 5:25.0.2-1~debian.11~bullseye
2024-02-02 16:33:20 status half-installed docker-ce:amd64 5:25.0.2-1~debian.11~bullseye
2024-02-02 16:33:21 status unpacked docker-ce:amd64 5:25.0.2-1~debian.11~bullseye
2024-02-02 16:33:21 startup packages configure
2024-02-02 16:33:21 configure containerd.io:amd64 1.6.28-1 <none>
2024-02-02 16:33:21 status unpacked containerd.io:amd64 1.6.28-1
2024-02-02 16:33:21 status half-configured containerd.io:amd64 1.6.28-1
2024-02-02 16:33:22 status installed containerd.io:amd64 1.6.28-1
2024-02-02 16:33:22 configure docker-ce-cli:amd64 5:25.0.2-1~debian.11~bullseye <none>
2024-02-02 16:33:22 status unpacked docker-ce-cli:amd64 5:25.0.2-1~debian.11~bullseye
2024-02-02 16:33:22 status half-configured docker-ce-cli:amd64 5:25.0.2-1~debian.11~bullseye
2024-02-02 16:33:22 status installed docker-ce-cli:amd64 5:25.0.2-1~debian.11~bullseye
2024-02-02 16:33:22 configure docker-ce:amd64 5:25.0.2-1~debian.11~bullseye <none>
2024-02-02 16:33:22 status unpacked docker-ce:amd64 5:25.0.2-1~debian.11~bullseye
2024-02-02 16:33:22 status half-configured docker-ce:amd64 5:25.0.2-1~debian.11~bullseye
